PUN NAZIV,SKRACENI NAZIV,ADRESA,MATICNI BROJ,PORESKI BROJ,TEKUCI RACUN,PRAVNI OBLIK,DATUM OSNIVANJA,DELATNOST,Telefon,Web,E-mail,OPIS DELATNOSTI,Folder,Pozicija 1,Pozicija 1 Ime,Pozicija 1 Linkedin,Pozicija 1 Telefon,Pozicija 1 Mail,Pozicija 2,Pozicija 2 Ime,Pozicija 2 Linkedin,Pozicija 2 Telefon,Pozicija 2 Mail,Pozicija 3,Pozicija 3 Ime,Pozicija 3 Linkedin,Pozicija 3 Telefon,Pozicija 3 Mail,Pozicija 4,Pozicija 4 Ime,Pozicija 4 Linkedin,Pozicija 4 Telefon,Pozicija 4 Mail,Beleske
SIGIT DOO GROŠNICA,SIGIT DOO KRAGUJEVAC,OKTOBARSKIH ŽRTAVA BB 34202 GROŠNICA,20730986,107044072,265-1000000276573-70,Društvo sa ograničenom odgovornošću,18.4.2011.,Proizvodnja ostalih proizvoda od plastike,+381 34 503855+381 34 503856,, nikola.sljanic@sigit.it,Izrada kontrolnika plastičnih delova za automobilsku industriju.,AUTO-INDUSTRIJA,Injection molding technologist,Filip Bogdanović,https://www.linkedin.com/in/filip-bogdanovi%C4%87,,,Logistics Specialist,Jelena Ristic,,,,CEO,Davor Veličkovski,https://www.linkedin.com/in/davor-velickovski,,,Plant Quality Manager,Milan Vučković,,+381 69 105 0140,milan.vuckovic@sigit.it,23-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
TEKNIA KG DOO KRAGUJEVAC,TEKNIA KG DOO,BRAĆE NIKOLIĆA 21V 34000 KRAGUJEVAC,20172304,104487899,170-0030024492320-16,Društvo sa ograničenom odgovornošću,20.6.2006.,Proizvodnja ostalih delova i dodatne opreme za motorna vozila,+38 134 300 052,,,Bave se proizvodnjom metalnih i plastični komponenti za najpoznatije svetske automobilske brendove.,AUTO-INDUSTRIJA,Control Department,Nikola Damjanović,,+381 62 88 19 864+381 34 33 7124,nikola.damjanovic@tekniagroup.com,Automotive engineer,Vladimir Jelić,https://www.linkedin.com/in/vladimir-jelic,,,QMS Manager,Jasmina Kovacević,https://www.linkedin.com/in/jasmina-kovacevic,,,Production manager,Miloš Janković,https://www.linkedin.com/in/milos-jankovic,+381 61 180 9777,,LinkedIn
VORWERK AUTOTEC SERBIA D.O.O. ČAČAK,VORWERK AUTOTEC SERBIA D.O.O.,Peter Coellen 2 32212 PRELJINA,21343021,110363757,840-0000032081763-82,Društvo sa ograničenom odgovornošću,6.12.2017.,Proizvodnja ostalih delova i dodatne opreme za motorna vozila,,, office@rsm.rs,Bave se proizvodnjom delova za auto-industriju.,AUTO-INDUSTRIJA,Managing Director,Nenad Medenica,,,,Project Leader,Vladimir Milojević,,,milojevickg@gmail.com,Quality Assurance Engineer,Vladimir Cvetković,,,,Strategic Buyer,Miloš Jakovljević,-,+381 62 269 902,m.jakovljevic@vorwerk-automotive.rs,15-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
Yanfeng International Automotive Technology Serbia d.o.o. Kragujevac,Yanfeng International Automotive Technology Serbia d.o.o.,Braće Nikolić 2 Kragujevac Srbija,21449008,111248533,265-1110310005226-35,Društvo sa ograničenom odgovornošću,22.1.2019,Proizvodnja ostalih delova i dodatne opreme za motorna vozila,,-,office.kragujevac@yanfeng.com,,AUTO-INDUSTRIJA,Quality Engineer YFAI,Vladimir Matijević,,+381 69 716 735,vladimir.matijevic@yanfeng.com,Quality Engineer YFAI,Bojan Ilić,,+381 60 606 77 64,bojan.ilic@yanfeng.com,Plant Manager,Miloš Radović,https://www.linkedin.com/in/milan-radovic,,,Project manager,,,,,20-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
Yanfeng Seating d.o.o. Kragujevac,Yanfeng Seating d.o.o.,PANONSKA 3 Kragujevac Srbija,21555487,111862202,840-0000051739763-45,Društvo sa ograničenom odgovornošću,11.2.2020.,Proizvodnja ostalih delova i dodatne opreme za motorna vozila,,-,bin.ren@yanfeng.com,,AUTO-INDUSTRIJA,Zastupnici,Bin RenBojan Rakonjac,,,,Advanced Quality Engineer,Aleksandra Veličković,,+381 60 670 4178,aleksandra.velickovic@yanfeng.com,Proccurement Engineer,Miloš Canić,,+381 69 805 2885,milos.canic@yanfeng.com,Project manager,,,,,20-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
,YANFENG SAFETY SYSTEM,,,,,,,,,,,Podaci sti kao za Yanfeng International Automotive Technology Serbia d.o.o. Kragujevac (isti objekat),AUTO-INDUSTRIJA,Plant Buyer YFSS, Anka Djuričić,,+381 69 84 00 221,anka.djuricic@yanfeng.com,Senior Cost Analyst YFSS,Jelena Kovačević,,+381 69 84 00 223,jelena.kovacevic@yanfeng.com,Senior Advance Supplier Quality Assurance YFSS,Dejan Krsmanović,,,dejan.krsmanovic@yanfeng.com,Senior Quality Engineer YFSS,Predrag Mišković,,,predrag.miskovic@yanfeng.com,DODATNI KONTAKTIVladimir KodžopeljićLinkedInTelefonMailvladimir.kodzopeljic@yanfeng.com
ZF Serbia d.o.o. Pančevo,ZF Serbia d.o.o.,7. Nova 7 26000 Pančevo,21365718,110587181,170-0030036819020-02,Društvo sa ograničenom odgovornošću,2.3.2018.,Proizvodnja električne i elektronske opreme za motorna vozila,+38 113 2154003,, office.pnc@zf.com,Proizvode sisteme za putnička i komercijalna vozila. Fokus je na proizvodnji i razvoju novih generacija elektromotora i generatora za hibridne i električne pogone kao i ručicama menjača i mikro prekidačima.,AUTO-INDUSTRIJA,Rukovodilac sektora održavanja / Elektropogonska tehnika,Marko Todorovski,https://www.linkedin.com/in/marko-todorovski,+381 66 8875 553+381 13 2154 053,marko.todorovski@zf.com,Production Supervisor,Miloš Šarac,https://www.linkedin.com/in/milos-sarac,,,Project manager,Daniel Stanković,https://www.linkedin.com/in/daniel-stankovic,,,Quality Project Lead,Nikola Barjaktarović,https://www.linkedin.com/in/nikola-barjaktarovic,,,LinkedIn
DRUŠTVO ZA PROIZVODNJU PROMET I USLUGE KONELEK DOO BEOGRAD (ZEMUN),KONELEK DOO BEOGRAD-ZEMUN,PUKOVNIKA MILENKA PAVLOVIĆA 136A 11080 ZEMUN,07489609,100095172,205-0000000251255-13,Društvo sa ograničenom odgovornošću,26.3.1990.,Proizvodnja vazdušnih i svemirskih letelica i odgovarajuće opreme,+381 11 2613 865+381 11 4075 140,www.aero.konelek.com , office@aero.konelek.com,Proizvođač delova za „Erbas“ Srbija.PROIZVODI:Proizvodnja alata za opsluživanje Vazduhoplova  Projektovanje struktura i alataSEKTORI: Avio industrija - Proizvodnja delova i sistema za vazduhoploveAvio industrija - Projektovanje i dizajn,AVIO-INDUSTRIJA,Tehnički direktor,Vladimir Ekmedžić,,+381 11 407 51 404,,Director and Head of Engineering,Andrija Ekmedžić,https://www.linkedin.com/in/dr-andrija-ekmedzic,,,Vazduhoplovni mašinski inženjer,Natalija Stojčeska,https://www.linkedin.com/in/natalija-stojčeska,,,Project manager,Zorica Kalanj,https://www.linkedin.com/in/zorica-kalanj,,,24-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PINK RESEARCH & DEVELOPMENT CENTER društvo s ograničenom odgovornošću Šimanovci,PRDC d.o.o. Šimanovci,Novo Naselje BB 22310 Šimanovci,21597813,112051907,340-0000011027107-71,Društvo sa ograničenom odgovornošću,13.7.2020.,Proizvodnja vazdušnih i svemirskih letelica i odgovarajuće opreme,,, info@pr-dc.com,USLUGE:dronovi u vojne svrhe- leteći automobile- protivpožarna zaštita- isporuka krvivazduhoplovna bezbednostroboti I gedžetinauka I industrijaSOFTWARE,AVIO-INDUSTRIJA,Founder,Željko Mitrović,,,zmitrovic@pr-dc.com,Director and Aerospace Engineer,Tijana Petrašinović Mileta,https://www.linkedin.com/in/tijana-petrašinović-mileta,,tpetrasinovic@pr-dc.com,Suvlasnici and Inžinjeri avijacije,Nikola PetrašinovićMiloš PetrašinovićMihailo PetrovićVeljko Petrović,https://www.linkedin.com/in/mpetrasinovic/,,petrasinovicmp@gmail.com,Aerospace Engineer,Uroš Letunica,https://www.linkedin.com/in/letunicauros,,uletunica@pr-dc.com,17-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
SR METALOSTRUGARSKA METALOBRUSAČKA ALATNIČARSKA I IZRADA PREDMETA OD PLASTIKE GUME I METALA ALATVERK VEREŠ JAN PREDUZETNIK STARA PAZOVA,SR METALOSTRUGARSKA METALOBRUSAČKA ALATNIČARSKA I IZRADA PREDMETA OD PLASTIKE GUME I METALA ALATVERK VEREŠ JAN PREDUZETNIK STARA PAZOVA,Vere Miščević 109 22300 Stara Pazova,52606900,100535356,340-0000010000027-09,Preduzetnik,1.12.1992.,Proizvodnja ostalih proizvoda od plastike,+381 22 312 336+381 63 170 9088,,,Metalostrugarska metalobrusačka alatničarska radnja i bave se izradom predmeta od plastike gume i metala.,BRIZGANJE PLASTIKE,Direktor,,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,20-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PREDUZEĆE ZA KOMERCIJALNE POSLOVE TRGOVINU NA VELIKO IZVOZ I UVOZ BOBEX DOO BEOGRAD (STARI GRAD),BOBEX DOO BEOGRAD,Kraljice Natalije 1 11000 BEOGRAD,07467893,100424463,160-0000000266279-34,Društvo sa ograničenom odgovornošću,22.12.1989.,Proizvodnja ostalih proizvoda od plastike,+381 11 2687-244+381 11 3620-386,, ; bobex011@gmail.com,Bave se izradom alata I kalupa proizvode i konstruišu alate koristeći CNC mašine.Proizvode alate za brizganje plastike.,BRIZGANJE PLASTIKE,Director,Blagoje Popović,https://www.linkedin.com/in/blagoje-popovic,,,Managing Director,Zoran Popović,https://www.linkedin.com/in/zoran-popovic,,,Direktor kvaliteta,,,,,Project manager,,,,,27-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
Žarko Petrović PR Proizvodnja proizvoda od plastike EKO-PLAST Osečina,Žarko Petrović PR Proizvodnja proizvoda od plastike EKO-PLAST Osečina,BRAĆE NEDIĆA 49 14253 OSEČINA,64606182,110043190,205-0000000245202-33,Preduzetnik,18.5.2017.,Proizvodnja ploča listova cevi i profila od plastike,,, ekoplastosecina@gmail.com,PROIZVODI:PLASTIČNI REZERVOARI (vertikalni rezervoari horizontalni rezervoari termo izolovani rezervoari ezervoari sa duplim zidom kace)OTPADNE VODE (septičke jame sakupljači kišnice separatoriCEVI I ŠAHTE (cevi za ventilaciju cevi za kanalizaciju šahte)PONTONI (plovni pontoni pontoni za splavove),BRIZGANJE PLASTIKE,Direktor,Žarko Petrović,,+381 60 521 5 700,,Darko,,,+381 60 515 80 90,,Direktor kvaliteta,,,,,Project manager,,,,,03-05-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
MOLD SOLUTIONS D.O.O. Kragujevac,MOLD SOLUTIONS D.O.O.,Trg Topolivaca 4 34000 KRAGUJEVAC,21481572,111434182,325-9601700069203-49,Društvo sa ograničenom odgovornošću,15.5.2019.,Proizvodnja ostalih proizvoda od plastike,+381 63 83 63 187,, office@moldsolutions.rs,- IZRADA ALATA ZA BRIZGANJE PLASTIKE- BRIZGANJE PLASTIKE,BRIZGANJE PLASTIKE,Direktor,Vuk ČomiĆ,https://www.linkedin.com/in/vuk-comic-744a437b/,+381 63 83 63 187,vuk.comic@moldsolutions.rs,Sales Representative,Milos Nenadovic,https://www.linkedin.com/in/milos-nenadovic-92297a203/,+381 69 18 36 318,milos.nenadovic@moldsolutions.rs,Process engineer,Vladimir Tomić,https://www.linkedin.com/in/vladimir-tomi%C4%87-281b4a163/,+381 69 183 0093,vladimir.tomic@moldsolutions.rs,Project managerRenata Nikolic,,https://www.linkedin.com/in/renata-nikolic-7139a710b/,+381 69 18 36 319,renata.nikolic@moldsolutions.rs,15-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PREDUZEĆE ZA PROIZVODNJU PROMET I USLUGE MPK TREJD DOO VALJEVO,MPK TREJD DOO VALJEVO,BRANKA RADIČEVIĆA 17 14000 VALJEVO,17612646,103541213,165-0007014013657-03,Društvo sa ograničenom odgovornošću,11.9.2004.,Proizvodnja ploča listova cevi i profila od plastike,+381 14 232 105,, office@mpk-trejd.rs,Uslužno livenje plastičnih delova. Bave se izradom delova dobijenih tehnologijom brizganja plastike.USLUGE:Brizganje plastikeIzrada alata I delova,BRIZGANJE PLASTIKE,Direktor,Nevena Jovanovic,https://www.linkedin.com/in/nevena-jovanovic,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,20-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
Novares Serbia d.o.o. Zrenjanin,Novares Serbia d.o.o.,LAZAREVAČKI DRUM 22A 23000 Zrenjanin,20734345,107058801,340-0000011006347-77,Društvo sa ograničenom odgovornošću,29.4.2011.,Proizvodnja ostalih proizvoda od plastike,+381 23 315 0271+381 23 315 0342,, jcuk@novaresteam.com,Bave se proizvodnjom plastičnih delova za auto industriju.Tehnologija brizganja plastike.,BRIZGANJE PLASTIKE,Plant Manager,Saša Jesić,https://www.linkedin.com/in/sasa-jesic,,,APU Manager,Dimitrije Naprta,https://www.linkedin.com/in/dimitrije-naprta,,,Project Lead,Bojan Jovanović,https://www.linkedin.com/in/bojan-jovanovic,,,Manufacturing Engineering Manager,Srdjan Stanojević,https://www.linkedin.com/in/srdjan-stanojevic,,,04-05-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
MNG PLASTIK-GOGIĆ DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU INĐIJA,MNG PLASTIK-GOGIĆ DOO INĐIJA,Kralja Petra I 227 22320 Inđija,08369623,101612478,205-0000000044411-36,Društvo sa ograničenom odgovornošću,6.10.1992.,Proizvodnja ostalih proizvoda od plastike,+381 (22) 561-674+381 (22) 555-306,, office@plastikgogic.rs,Brizganje različitih proizvoda od plastike.Proizvodi:- kontejneri sa 4 tocka- kante sa 2 tocka- resenja za separaciju otpada- posude za otpad- plasticne kace i posude siroke potrosnje- stadionske stolice- multifunkcionalne podloge,BRIZGANJE PLASTIKE,Direktor,Slobodan Gogić,,,,Logistika i nabavka,Dragana Janković,,,d.jankovic@plastikgogic.rs,Direktor kontrole kvaliteta,Nikola Radakovic,,+381 63 537 074,nikola.radakovic@plastikgogic.rs,Rukovodilac proizvodnog sektora,Goran Gogić,,,g.gogic@plastikgogic.rs,DODATNI KONTAKTIŠef odeljenja za istrazivanje i razvoj:Dragomir PopovicLinkedInhttps://www.linkedin.com/in/dragomir-popovicTelefon+381 63 526 094Maildragomir.popovic@plastikgogic.rsŠef proizvodnog sektora:Siniša Marinković LinkedInTelefonMailsinisa.marinkovic@plastikgogic.rs
POBEDA COMPANI DOO ZA PROIZVODNJU TRGOVINU I USLUGE NOVA PAZOVA,POBEDA COMPANI DOO NOVA PAZOVA,ČETVRTA INDUSTRIJSKA 11 22330 Nova Pazova,08803986,103209674,340-0000000029811-28,Društvo sa ograničenom odgovornošću,17.12.2003.,Proizvodnja ostalih proizvoda od plastike,+381 22 323 - 703+381 22 323 - 802,www. pobedacompani.rs , info@pobedacompani.rs,Bave se proizvodnjom predmeta od brizgane plastike.,BRIZGANJE PLASTIKE,Direktor,Dušan Četnik,,,,Administration officer,Željka Savić,,+381 22 323 703,knjigovodstvo@pobedacompani.rs,Direktor kvaliteta,,,,,Project manager,,,,,13-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
GORAN STANIŠIĆ PREDUZETNIK RADNJA ZA PROIZVODNJU PREDMETA OD PLASTIKE GUME I METALA TRGOVINA NA VELIKO I MALO I IZNAJMLJIVANJE NEKRETNINA SUPER PLAST NOVA PAZOVA,GORAN STANIŠIĆ PREDUZETNIK SUPER PLAST,CVIJE KUKOLJA BB 22330 Nova Pazova,55688320,102782490,330-0071400025104-80,Preduzetnik,1.4.2003.,Proizvodnja ostalih proizvoda od plastike,+381 22 323 644+381 63 578 146,, superplastt@gmail.com,Bave se izradom predmeta od brizgane plastike.Pored izrade alata za sopstvenu proizvodnju alatnica raspolaže kapacitetima za usluge kao i za reparacije već postojećih alata.Poseduju CNC-glodalice CNC-erozimate CNC – erozimat na žicu CNC strugove kao i veći broj specijalizovanih alatnih mašina.,BRIZGANJE PLASTIKE,Direktor,Goran Stanišić,,,,Plastic injection mold designer and CNC Programmer,Marko Vojinović,https://www.linkedin.com/in/marko-vojinovic,,,Direktor kvaliteta,,,,,Project manager,,,,,19-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
